Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
10.0,10.0,8.1,9.4,APR,3.0,3,1.0,0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,Sim,20.0,9,Ensino médio convencional público
9.8,8.3,7.5,8.5,APR,3.0,3,3.0,3,1.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,Não,4.0,9,Ensino médio convencional público
5.0,5.5,3.3,4.6,REC,1.0,3,3.0,3,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,Não,7.0,9,Ensino médio convencional público
10.0,9.3,8.8,9.4,APR,0.0,0,0.0,0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,Sim,20.0,6,Ensino médio convencional público
9.2,2.0,1.2,4.1,REC,5.0,5,5.0,5,5.0,5.0,5,5.0,0.0,3.0,5.0,3.0,3.0,Não,15.0,10,Técnica pública
9.6,10.0,10.0,9.9,APR,5.0,5,5.0,5,5.0,1.0,5,5.0,3.0,0.0,5.0,3.0,3.0,Sim,2.0,10,Técnica pública
9.8,7.3,3.5,6.9,APRN,1.0,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,10.0,7,Ensino médio convencional particular
0.6,0.0,0.0,0.2,REP,0.0,1,1.0,1,0.0,0.0,1,1.0,0.0,3.0,1.0,1.0,1.0,Sim,14.0,9,Ensino médio convencional particular
0.9,0.0,0.0,0.3,REP,1.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,7.0,10,Técnica pública
9.5,9.1,6.2,8.3,APR,0.0,3,3.0,1,1.0,1.0,1,1.0,3.0,0.0,0.0,3.0,1.0,Sim,5.0,8,Ensino médio convencional particular
9.8,10.0,7.2,9.0,APR,1.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,2.0,8,Ensino médio convencional particular
9.8,10.0,7.2,9.0,APR,1.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,2.0,8,Ensino médio convencional particular
9.6,9.6,7.9,9.0,APR,3.0,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,14.0,8,Ensino médio convencional particular
0.9,0.0,0.0,0.3,REP,3.0,3,3.0,3,1.0,0.0,0,0.0,0.0,5.0,1.0,1.0,0.0,Sim,15.0,10,Técnica pública
10.0,2.6,2.2,4.9,REC,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Sim,9.0,6,Ensino médio convencional particular
4.2,0.7,0.0,1.6,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,10.0,8,Ensino médio convencional particular
4.8,0.0,0.0,1.6,REP,3.0,5,5.0,5,3.0,0.0,5,5.0,0.0,0.0,1.0,5.0,5.0,Sim,4.0,10,Técnica particular
0.7,0.0,0.0,0.2,REP,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,25.0,10,Ensino médio convencional particular
0.2,0.0,0.0,0.1,REP,1.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,Sim,0.0,6,Ensino médio convencional particular
9.8,4.3,6.5,6.9,APRN,3.0,1,1.0,1,0.0,0.0,3,3.0,3.0,0.0,0.0,3.0,0.0,Sim,5.0,10,Ensino médio convencional público
9.6,10.0,10.0,9.9,APR,1.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,2.0,7,Técnica pública
